"id","name","label","datatype","isEnabled","uuid:ID","instanceType","isRequired"
"BiomedicalConceptProperty_30","VSTESTCD","VSTESTCD","","True","c11bd3f0-4edd-49e7-a540-a61a9211976f","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_31","VSORRES","VSORRES","integer","True","e7ffa532-df9a-4455-bb8c-f6aea2513f6e","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_32","VSORRESU","VSORRESU","","True","0175199b-aae9-4591-b017-ea66ede222d7","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_33","VSPOS","VSPOS","","True","3dcd58b3-9572-45ff-a0ba-8b567d080f62","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_34","VSLOC","VSLOC","","True","bdb4cd94-2f2d-4e64-9650-07b0424ef1f3","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_35","VSLAT","VSLAT","","True","a50b748e-7116-42f6-8396-980a162e3bcd","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_36","VSTESTCD","VSTESTCD","","True","1d655e94-811b-48b5-8beb-fbb03dfe125b","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_37","VSORRES","VSORRES","float","True","90b33099-0c14-4f0c-89d4-d540244e0b8f","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_38","VSORRESU","VSORRESU","","True","59790635-f225-4002-8925-752be2882074","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_39","VSLOC","VSLOC","","True","0a16cc47-c486-42b9-a48d-f2e61d8adfe9","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_40","VSTESTCD","VSTESTCD","","True","08e17f7c-5cce-4a5b-8932-58ffe3931f80","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_41","VSORRES","VSORRES","float","True","eff6b188-ff20-4be2-9dbf-2f94f8571507","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_42","VSORRESU","VSORRESU","","True","5c2b303c-c129-4904-8b06-12aae190d7c6","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_43","VSTESTCD","VSTESTCD","","True","bbfece55-bb2b-42f1-8966-1f82e0241849","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_44","VSORRES","VSORRES","float","True","c487beee-5e34-4472-bec3-55366b730bb1","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_45","VSORRESU","VSORRESU","","True","4a5a8b76-5949-4084-8477-feec7b4c63c7","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_46","LBTESTCD","LBTESTCD","","True","5a61b0fe-32c3-4da7-ba53-74e45507d81a","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_47","LBORRES","LBORRES","float","True","4ede71a9-0589-4875-a64c-88dd009e7113","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_48","LBORRESU","LBORRESU","","True","2f4adb13-7016-464a-9f65-8e8b090ad0c5","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_49","LBSPEC","LBSPEC","","True","52199094-9195-480c-b983-06348844e697","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_50","LBFAST","LBFAST","","True","d19f46db-9694-4552-91ae-51c2b9ff5c3e","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_51","LBTESTCD","LBTESTCD","","True","647ffa30-99fb-4ae4-9b51-8b7c3b486f64","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_52","LBORRES","LBORRES","text","True","c55d87d0-6891-4b8f-b0ab-1b7b2d528bef","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_53","LBSPEC","LBSPEC","","True","d2965f54-ca63-4342-b5c8-6d35a1025634","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_54","LBFAST","LBFAST","","True","9029f968-97e0-456d-a5b7-8bbfe52beba5","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_55","LBTESTCD","LBTESTCD","","True","7f0d5459-06a9-49e9-8496-591e2202c3c8","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_56","LBORRES","LBORRES","float","True","104d8d63-2ee8-4aef-a76c-5470dccc231d","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_57","LBORRESU","LBORRESU","","True","99807cfc-3507-4637-98bf-a032e19aebe2","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_58","LBSPEC","LBSPEC","","True","6766252c-35a0-49be-a862-f62a916bdeba","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_59","LBFAST","LBFAST","","True","73eb9e21-7411-4a9d-8578-a8558f81f1c4","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_60","LBTESTCD","LBTESTCD","","True","11d19cc1-b4bf-464d-94ff-85b035c79d48","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_61","LBORRES","LBORRES","float","True","67bffbdc-4615-4ef9-afd5-0ffe7e92a1d7","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_62","LBORRESU","LBORRESU","","True","7cf6af13-f0f4-45ca-9310-293baccff29f","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_63","LBSPEC","LBSPEC","","True","67820119-14a4-4c0c-b1ba-7ddb25615bd9","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_64","LBFAST","LBFAST","","True","5d99a288-334b-4a41-9512-240682e563df","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_65","LBTESTCD","LBTESTCD","","True","8c4e9d5e-9c3c-4620-aef4-c50a77d03832","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_66","LBORRES","LBORRES","float","True","097d2206-d386-4043-881c-fdfe901a616c","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_67","LBORRESU","LBORRESU","","True","9ed7324a-7cf0-4b32-a677-6d0784959b6e","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_68","LBSPEC","LBSPEC","","True","a3843173-12bb-4c32-a679-9e6262f606fd","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_69","LBFAST","LBFAST","","True","757f7d8e-cbc1-4c1d-a6d2-527d76651b0a","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_70","LBTESTCD","LBTESTCD","","True","75e942ac-037f-4989-b9cc-fc3f64f47832","BiomedicalConceptProperty","True"
