"isRequired","datatype","id","name","uuid:ID","label","isEnabled","instanceType"
"True","float","BiomedicalConceptProperty_163","LBORRES","1e4e2550-2ade-493a-adbb-739fa90e555e","LBORRES","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_164","LBORRESU","3b787911-cbb0-4407-b4ed-b4f7f49a97ac","LBORRESU","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_165","LBSPEC","a7b8a72a-646a-4e35-8aa3-378245f2e5c2","LBSPEC","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_166","LBFAST","f9b75fcf-c465-48a4-9637-754bedc53321","LBFAST","True","BiomedicalConceptProperty"
"True","text","BiomedicalConceptProperty_1","AETERM","573b9dd3-6e3b-4879-a37f-f8feda356de9","AETERM","True","BiomedicalConceptProperty"
"True","text","BiomedicalConceptProperty_2","AEDECOD","1282f274-6756-4b42-b266-da81eab97929","AEDECOD","True","BiomedicalConceptProperty"
"True","text","BiomedicalConceptProperty_3","AEPRESP","45cf02cd-8660-4eb6-9768-372c18e95a9f","AEPRESP","True","BiomedicalConceptProperty"
"True","text","BiomedicalConceptProperty_4","AELOC","23a2c78d-e4f9-4501-b549-9f1bcb5dcf83","AELOC","True","BiomedicalConceptProperty"
"True","text","BiomedicalConceptProperty_5","AESEV","b3ca5154-9b71-4fa7-970b-18ed7cbb8d90","AESEV","True","BiomedicalConceptProperty"
"True","text","BiomedicalConceptProperty_6","AESER","991e5619-58bb-4959-8c50-dd287195901f","AESER","True","BiomedicalConceptProperty"
"True","text","BiomedicalConceptProperty_7","AEACN","2c12b476-0349-4ba1-abc5-7f83a8e97221","AEACN","True","BiomedicalConceptProperty"
"True","text","BiomedicalConceptProperty_8","AEACNOTH","df8b00f7-fe3f-43f0-bd72-3cb78f86a1dc","AEACNOTH","True","BiomedicalConceptProperty"
"True","text","BiomedicalConceptProperty_9","AEREL","bfb9be92-b050-4972-b04e-51afb75e09f2","AEREL","True","BiomedicalConceptProperty"
"True","text","BiomedicalConceptProperty_10","AERELNST","06801a35-d236-48db-a4e6-8de6d0d3f0ab","AERELNST","True","BiomedicalConceptProperty"
"True","text","BiomedicalConceptProperty_11","AEPATT","5f2f7df1-7505-440c-a8b5-eebe1f0ca1e8","AEPATT","True","BiomedicalConceptProperty"
"True","text","BiomedicalConceptProperty_12","AEOUT","a20a6b4c-d123-4959-b742-4b949398cad5","AEOUT","True","BiomedicalConceptProperty"
"True","text","BiomedicalConceptProperty_13","AESCAN","5ef7db0b-b68e-402d-a3d5-de35cbf85d83","AESCAN","True","BiomedicalConceptProperty"
"True","text","BiomedicalConceptProperty_14","AESCONG","4f0d0641-3c2a-4045-b059-0c60794e489b","AESCONG","True","BiomedicalConceptProperty"
"True","text","BiomedicalConceptProperty_15","AESDISAB","bdf78c93-b3d8-4932-befc-a0317138f949","AESDISAB","True","BiomedicalConceptProperty"
"True","text","BiomedicalConceptProperty_16","AESDTH","d3028c18-ebd9-4623-901b-579f8a0d7fa5","AESDTH","True","BiomedicalConceptProperty"
"True","text","BiomedicalConceptProperty_17","AESHOSP","78c7c3ef-cbf6-4679-acac-a85f1081d523","AESHOSP","True","BiomedicalConceptProperty"
"True","text","BiomedicalConceptProperty_18","AESLIFE","db53da67-1239-4e05-802f-ea40fe784dc6","AESLIFE","True","BiomedicalConceptProperty"
"True","text","BiomedicalConceptProperty_19","AESOD","80a89d3d-e0b6-4bdf-811c-ac95a079eda7","AESOD","True","BiomedicalConceptProperty"
"True","text","BiomedicalConceptProperty_20","AESMIE","b7af31f1-b013-4b1e-b59d-21b6f5ccb8ac","AESMIE","True","BiomedicalConceptProperty"
"True","text","BiomedicalConceptProperty_21","AECONTRT","e5326817-7851-4ee3-b4aa-ca6bd4f5eed9","AECONTRT","True","BiomedicalConceptProperty"
"True","datetime","BiomedicalConceptProperty_22","AESTDTC","8cba45f8-1eff-496b-8cea-d71d758953ef","AESTDTC","True","BiomedicalConceptProperty"
"True","datetime","BiomedicalConceptProperty_23","AEENDTC","4117261a-0d32-42e1-afea-b54453bb4f33","AEENDTC","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_24","VSTESTCD","e60818bd-ca07-4f4c-bd72-75921e060e9e","VSTESTCD","True","BiomedicalConceptProperty"
"True","integer","BiomedicalConceptProperty_25","VSORRES","6b9c8289-a5f2-4e3b-a352-1bce0c29693f","VSORRES","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_26","VSORRESU","715c6e6b-ffdd-454b-b643-b2a33bda2e4b","VSORRESU","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_27","VSPOS","9c5d5c61-7e99-44bd-bb37-c86c078dca90","VSPOS","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_28","VSLOC","bbec4cab-245e-4fb2-af68-1372956dcf47","VSLOC","True","BiomedicalConceptProperty"
